NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-decline-other.ps1
// Declension for special cases
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline_other; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten
Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten
Kultisten;Kultisten;Kultisten;Kultisten;Kultisten;Kultisten;Kultisten;Kultisten
// DefInjected\HediffDef\* (\w+\.labelNoun)
ein Fleischmassenmagen;eines Fleischmassenmagens;einem Fleischmassenmagen;einen Fleischmassenmagen;der Fleischmassenmagen;des Fleischmassenmagen;dem Fleischmassenmagen;den Fleischmassenmagen
ein Fleischtentakel;eines Fleischtentakels;einem Fleischtentakel;ein Fleischtentakel;das Fleischtentakel;des Fleischtentakels;dem Fleischtentakel;das Fleischtentakel
ein verdauter Körperteil;eines verdauten Körperteils;einem verdauten Körperteil;einen verdauten Körperteil;der verdaute Körperteil;des verdauten Körperteils;dem verdauten Körperteil;den verdauten Körperteil
eine Energieblitzwunde;einer Energieblitzwunde;einer Energieblitzwunde;eine Energieblitzwunde;die Energieblitzwunde;der Energieblitzwunde;der Energieblitzwunde;die Energieblitzwunde
eine Fleischmassenlunge;einer Fleischmassenlunge;einer Fleischmassenlunge;eine Fleischmassenlunge;die Fleischmassenlunge;der Fleischmassenlunge;der Fleischmassenlunge;die Fleischmassenlunge
eine Fleischpeitsche;einer Fleischpeitsche;einer Fleischpeitsche;eine Fleischpeitsche;die Fleischpeitsche;der Fleischpeitsche;der Fleischpeitsche;die Fleischpeitsche
eine mentale Verbrennung;einer mentalen Verbrennung;einer mentalen Verbrennung;eine mentale Verbrennung;die mentale Verbrennung;der mentalen Verbrennung;der mentalen Verbrennung;die mentale Verbrennung
