KEY;1_NOM;2_GEN;3_DAT;4_ACC;5_NOM_ART;6_GEN_ART;7_DAT_ART;8_ACC_ART
// Plural declension (without and with article)
// NOTE: Ingame pluralization use this file automatically (always index 1).
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural; 2} looks up 2_GEN.
// ---
// Anomaly\DefInjected\FactionDef\*
Entität;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten
Entitäten;
Forschungsexpedition;Forschungsexpeditionen;Forschungsexpeditionen;Forschungsexpeditionen;Forschungsexpeditionen;Forschungsexpeditionen;Forschungsexpeditionen;Forschungsexpeditionen;Forschungsexpeditionen
Horax-Kult;Horax-Kulte;Horax-Kulte;Horax-Kulten;Horax-Kulte;Horax-Kulte;Horax-Kulte;Horax-Kulten;Horax-Kulte
Kolonist;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten
Mitglied;Mitglieder;Mitglieder;Mitgliedern;Mitglieder;Mitglieder;Mitglieder;Mitgliedern;Mitglieder
// Anomaly\DefInjected\PsychicRitualRoleDef\*
Beschützer;Beschützer;Beschützer;Beschützern;Beschützer;Beschützer;Beschützer;Beschützern;Beschützer
Beschwörer;Beschwörer;Beschwörer;Beschwörern;Beschwörer;Beschwörer;Beschwörer;Beschwörern;Beschwörer
Sänger;Sänger;Sänger;Sängern;Sänger;Sänger;Sänger;Sängern;Sänger
Ziel;Ziele;Ziele;Zielen;Ziele;Ziele;Ziele;Zielen;Ziele
// Anomaly\DefInjected\ThingDef\Apparel_Packs.xml
Deadlife-Kapsel;Deadlife-Kapseln;Deadlife-Kapseln;Deadlife-Kapseln;Deadlife-Kapseln;Deadlife-Kapseln;Deadlife-Kapseln;Deadlife-Kapseln;Deadlife-Kapseln
Deadlife-Rucksack;Deadlife-Rucksäcke;Deadlife-Rucksäcke;Deadlife-Rucksäcken;Deadlife-Rucksäcke;Deadlife-Rucksäcke;Deadlife-Rucksäcke;Deadlife-Rucksäcken;Deadlife-Rucksäcke
Disruptorfackel;Disruptorfackeln;Disruptorfackeln;Disruptorfackeln;Disruptorfackeln;Disruptorfackeln;Disruptorfackeln;Disruptorfackeln;Disruptorfackeln
Disruptorfackelrucksack;Disruptorfackelrucksäcke;Disruptorfackelrucksäcke;Disruptorfackelrucksäcken;Disruptorfackelrucksäcke;Disruptorfackelrucksäcke;Disruptorfackelrucksäcke;Disruptorfackelrucksäcken;Disruptorfackelrucksäcke
Fackel;Fackeln;Fackeln;Fackeln;Fackeln;Fackeln;Fackeln;Fackeln;Fackeln
Ladung;Ladungen;Ladungen;Ladungen;Ladungen;Ladungen;Ladungen;Ladungen;Ladungen
Turmrucksack;Turmrucksäcke;Turmrucksäcke;Turmrucksäcken;Turmrucksäcke;Turmrucksäcke;Turmrucksäcke;Turmrucksäcken;Turmrucksäcke
Turmrucksackkapsel;Turmrucksackkapseln;Turmrucksackkapseln;Turmrucksackkapseln;Turmrucksackkapseln;Turmrucksackkapseln;Turmrucksackkapseln;Turmrucksackkapseln;Turmrucksackkapseln
// Anomaly\DefInjected\ThingDef\Apparel_Utility.xml
Biomutationslanze;Biomutationslanzen;Biomutationslanzen;Biomutationslanzen;Biomutationslanzen;Biomutationslanzen;Biomutationslanzen;Biomutationslanzen;Biomutationslanzen
Splitter-Berserker-Lanze;Splitter-Berserker-Lanzen;Splitter-Berserker-Lanzen;Splitter-Berserker-Lanzen;Splitter-Berserker-Lanzen;Splitter-Berserker-Lanzen;Splitter-Berserker-Lanzen;Splitter-Berserker-Lanzen;Splitter-Berserker-Lanzen
Splitter-Schock-Lanze;Splitter-Schock-Lanzen;Splitter-Schock-Lanzen;Splitter-Schock-Lanzen;Splitter-Schock-Lanzen;Splitter-Schock-Lanzen;Splitter-Schock-Lanzen;Splitter-Schock-Lanzen;Splitter-Schock-Lanzen
// Anomaly\DefInjected\ThingDef\Apparel_Various.xml
Laborkittel;Laborkittel;Laborkittel;Laborkitteln;Laborkittel;Laborkittel;Laborkittel;Laborkitteln;Laborkittel
// Anomaly\DefInjected\ThingDef\Buildings_Misc.xml
Atmosphärenheizung;Atmosphärenheizungen;Atmosphärenheizungen;Atmosphärenheizungen;Atmosphärenheizungen;Atmosphärenheizungen;Atmosphärenheizungen;Atmosphärenheizungen;Atmosphärenheizungen
Austrittstelle;Austrittstellen;Austrittstellen;Austrittstellen;Austrittstellen;Austrittstellen;Austrittstellen;Austrittstellen;Austrittstellen
Bodengravierung;Bodengravierungen;Bodengravierungen;Bodengravierungen;Bodengravierungen;Bodengravierungen;Bodengravierungen;Bodengravierungen;Bodengravierungen
Deadlife-Falle;Deadlife-Fallen;Deadlife-Fallen;Deadlife-Fallen;Deadlife-Fallen;Deadlife-Fallen;Deadlife-Fallen;Deadlife-Fallen;Deadlife-Fallen
elektr. Inhibitor;elektr. Inhibitoren;elektr. Inhibitoren;elektr. Inhibitoren;elektr. Inhibitoren;elektr. Inhibitoren;elektr. Inhibitoren;elektr. Inhibitoren;elektr. Inhibitoren
Endlosgrube;Endlosgruben;Endlosgruben;Endlosgruben;Endlosgruben;Endlosgruben;Endlosgruben;Endlosgruben;Endlosgruben
