NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-plural-decline.ps1
// Plural declension (indefinite and definite)
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural_decline; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten;Entitäten
Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten
Kultisten;Kultisten;Kultisten;Kultisten;Kultisten;Kultisten;Kultisten;Kultisten
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Forscher;Forscher;Forschern;Forscher;Forscher;Forscher;Forschern;Forscher
Unterthrallkrieger;Unterthrallkrieger;Unterthrallkriegern;Unterthrallkrieger;Unterthrallkrieger;Unterthrallkrieger;Unterthrallkriegern;Unterthrallkrieger
Unterthrallschützen;Unterthrallschützen;Unterthrallschützen;Unterthrallschützen;Unterthrallschützen;Unterthrallschützen;Unterthrallschützen;Unterthrallschützen
// WordInfo\plural.txt
Beschützer;Beschützer;Beschützer;Beschützern;Beschützer;Beschützer;Beschützer;Beschützern
Beschwörer;Beschwörer;Beschwörer;Beschwörern;Beschwörer;Beschwörer;Beschwörer;Beschwörern
Brennerladungen;Brennerladungen;Brennerladungen;Brennerladungen;Brennerladungen;Brennerladungen;Brennerladungen;Brennerladungen
Fackeln;Fackeln;Fackeln;Fackeln;Fackeln;Fackeln;Fackeln;Fackeln
Heroldbäume;Heroldbäume;Heroldbäumen;Heroldbäume;Heroldbäume;Heroldbäume;Heroldbäumen;Heroldbäume
Heroldbaumstümpfe;Heroldbaumstümpfe;Heroldbaumstümpfen;Heroldbaumstümpfe;Heroldbaumstümpfe;Heroldbaumstümpfe;Heroldbaumstümpfen;Heroldbaumstümpfe
Heroldsamen;Heroldsamen;Heroldsamen;Heroldsamen;Heroldsamen;Heroldsamen;Heroldsamen;Heroldsamen
Ladungen;Ladungen;Ladungen;Ladungen;Ladungen;Ladungen;Ladungen;Ladungen
Leerenskulpturen;Leerenskulpturen;Leerenskulpturen;Leerenskulpturen;Leerenskulpturen;Leerenskulpturen;Leerenskulpturen;Leerenskulpturen
Psyritualplätze;Psyritualplätze;Psyritualplätzen;Psyritualplätze;Psyritualplätze;Psyritualplätze;Psyritualplätzen;Psyritualplätze
Sänger;Sänger;Sänger;Sängern;Sänger;Sänger;Sänger;Sängern
Splitterbaken;Splitterbaken;Splitterbaken;Splitterbaken;Splitterbaken;Splitterbaken;Splitterbaken;Splitterbaken
Ziele;Ziele;Zielen;Ziele;Ziele;Ziele;Zielen;Ziele
