NOM;1_COM_PRE
// Auto-generated by update-wordinfo-compound.ps1
// Compound words (as prefix), e.g. Piraten in Piratengruppe
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; compound; 1} looks up 1_COM_PRE.
// ---
// DefInjected\FactionDef\* (\w+\.pawnSingular)
Imp;Imp
Neandertaler;Neandertaler
Ödländer;Ödländer
Sanguophage;Sanguophagen
Schweinehaut;Schweinehaut
Yttakin;Yttakin
// DefInjected\ThingDef\Plants_* (\w+\.label)
Baumstumpf;Baumstumpf
Giftkartoffelpflanze;Giftkartoffelpflanzen
Graugras;Graugras
Graukiefer;Graukiefern
Hexenwaldbaum;Hexenwaldbaum
Poluxbaum;Poluxbaum
Poluxbaumstumpf;Poluxbaumstumpf
Poluxsamen;Poluxsamen
Rattenpalme;Rattenpalmen
Reißdorn;Reißdorn
Steinkaktus;Steinkaktus
