NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-decline-other.ps1
// Declension for special cases
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline_other; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Imps;Imps;Imps;Imps;Imps;Imps;Imps;Imps
Neandertaler;Neandertaler;Neandertalern;Neandertaler;Neandertaler;Neandertaler;Neandertalern;Neandertaler
Ödländer;Ödländer;Ödländern;Ödländer;Ödländer;Ödländer;Ödländern;Ödländer
Sanguophagen;Sanguophagen;Sanguophagen;Sanguophagen;Sanguophagen;Sanguophagen;Sanguophagen;Sanguophagen
Schweinehäute;Schweinehäute;Schweinehäuten;Schweinehäute;Schweinehäute;Schweinehäute;Schweinehäuten;Schweinehäute
Yttakin;Yttakin;Yttakin;Yttakin;Yttakin;Yttakin;Yttakin;Yttakin
// DefInjected\HediffDef\* (\w+\.labelNoun)
ein Blutsaugerbiss;eines Blutsaugerbisses;einem Blutsaugerbiss;einen Blutsaugerbiss;der Blutsaugerbiss;des Blutsaugerbisses;dem Blutsaugerbiss;den Blutsaugerbiss
eine Entgiftungslunge;einer Entgiftungslunge;einer Entgiftungslunge;eine Entgiftungslunge;die Entgiftungslunge;der Entgiftungslunge;der Entgiftungslunge;die Entgiftungslunge
eine Entgiftungsniere;einer Entgiftungsniere;einer Entgiftungsniere;eine Entgiftungsniere;die Entgiftungsniere;der Entgiftungsniere;der Entgiftungsniere;die Entgiftungsniere
Schwangerschaft;
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Abfackler;Abfackler;Abfacklern;Abfackler;Abfackler;Abfackler;Abfacklern;Abfackler
Agrarhelfer;Agrarhelfer;Agrarhelfern;Agrarhelfer;Agrarhelfer;Agrarhelfer;Agrarhelfern;Agrarhelfer
Apokriten;Apokriten;Apokriten;Apokriten;Apokriten;Apokriten;Apokriten;Apokriten
Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen
Büßer;Büßer;Büßern;Büßer;Büßer;Büßer;Büßern;Büßer
Diaboli;Diaboli;Diaboli;Diaboli;Diaboli;Diaboli;Diaboli;Diaboli
Diener;Diener;Dienern;Diener;Diener;Diener;Dienern;Diener
Dorfbewohner;Dorfbewohner;Dorfbewohnern;Dorfbewohner;Dorfbewohner;Dorfbewohner;Dorfbewohnern;Dorfbewohner
Elite-Söldner;Elite-Söldner;Elite-Söldnern;Elite-Söldner;Elite-Söldner;Elite-Söldner;Elite-Söldnern;Elite-Söldner
Fabrikoren;Fabrikoren;Fabrikoren;Fabrikoren;Fabrikoren;Fabrikoren;Fabrikoren;Fabrikoren
Giftratten;Giftratten;Giftratten;Giftratten;Giftratten;Giftratten;Giftratten;Giftratten
Herumtreiber;Herumtreiber;Herumtreibern;Herumtreiber;Herumtreiber;Herumtreiber;Herumtreibern;Herumtreiber
Jäger;Jäger;Jägern;Jäger;Jäger;Jäger;Jägern;Jäger
Kampfigel;Kampfigel;Kampfigeln;Kampfigel;Kampfigel;Kampfigel;Kampfigeln;Kampfigel
Konstruktoiden;Konstruktoiden;Konstruktoiden;Konstruktoiden;Konstruktoiden;Konstruktoiden;Konstruktoiden;Konstruktoiden
Krieger;Krieger;Kriegern;Krieger;Krieger;Krieger;Kriegern;Krieger
Kriegsköniginnen;Kriegsköniginnen;Kriegsköniginnen;Kriegsköniginnen;Kriegsköniginnen;Kriegsköniginnen;Kriegsköniginnen;Kriegsköniginnen
Lastenheber;Lastenheber;Lastenhebern;Lastenheber;Lastenheber;Lastenheber;Lastenhebern;Lastenheber
Legionäre;Legionäre;Legionären;Legionäre;Legionäre;Legionäre;Legionären;Legionäre
Mechanitoren;Mechanitoren;Mechanitoren;Mechanitoren;Mechanitoren;Mechanitoren;Mechanitoren;Mechanitoren
Militoren;Militoren;Militoren;Militoren;Militoren;Militoren;Militoren;Militoren
Notfallsanitäter;Notfallsanitäter;Notfallsanitätern;Notfallsanitäter;Notfallsanitäter;Notfallsanitäter;Notfallsanitätern;Notfallsanitäter
Ödländer-Bosse;Ödländer-Bosse;Ödländer-Bossen;Ödländer-Bosse;Ödländer-Bosse;Ödländer-Bosse;Ödländer-Bossen;Ödländer-Bosse
Ödländer-Grenadiere;Ödländer-Grenadiere;Ödländer-Grenadieren;Ödländer-Grenadiere;Ödländer-Grenadiere;Ödländer-Grenadiere;Ödländer-Grenadieren;Ödländer-Grenadiere
Ödländer-Schlitzer;Ödländer-Schlitzer;Ödländer-Schlitzern;Ödländer-Schlitzer;Ödländer-Schlitzer;Ödländer-Schlitzer;Ödländer-Schlitzern;Ödländer-Schlitzer
Ödländer-Schützen;Ödländer-Schützen;Ödländer-Schützen;Ödländer-Schützen;Ödländer-Schützen;Ödländer-Schützen;Ödländer-Schützen;Ödländer-Schützen
Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen;Piratenschützen
Plünderschläger;Plünderschläger;Plünderschlägern;Plünderschläger;Plünderschläger;Plünderschläger;Plünderschlägern;Plünderschläger
Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen;Plünderschützen
Putzhelfer;Putzhelfer;Putzhelfern;Putzhelfer;Putzhelfer;Putzhelfer;Putzhelfern;Putzhelfer
Schweineschützen;Schweineschützen;Schweineschützen;Schweineschützen;Schweineschützen;Schweineschützen;Schweineschützen;Schweineschützen
schwere Ödländer;schwerer Ödländer;schweren Ödländern;schwere Ödländer;schweren Ödländer;schweren Ödländer;schweren Ödländern;schweren Ödländer
schwere Söldner;schwerer Söldner;schweren Söldnern;schwere Söldner;schweren Söldner;schweren Söldner;schweren Söldnern;schweren Söldner
Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen
Söldnerschlitzer;Söldnerschlitzer;Söldnerschlitzern;Söldnerschlitzer;Söldnerschlitzer;Söldnerschlitzer;Söldnerschlitzern;Söldnerschlitzer
Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschützen
Stadthändler;Stadthändler;Stadthändlern;Stadthändler;Stadthändler;Stadthändler;Stadthändlern;Stadthändler
Stadträte;Stadträte;Stadträten;Stadträte;Stadträte;Stadträte;Stadträten;Stadträte
Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen;Stadtwachen
Tesseronen;Tesseronen;Tesseronen;Tesseronen;Tesseronen;Tesseronen;Tesseronen;Tesseronen
Toxalopen;Toxalopen;Toxalopen;Toxalopen;Toxalopen;Toxalopen;Toxalopen;Toxalopen
Tunnelgräber;Tunnelgräber;Tunnelgräbern;Tunnelgräber;Tunnelgräber;Tunnelgräber;Tunnelgräbern;Tunnelgräber
Zenturionen;Zenturionen;Zenturionen;Zenturionen;Zenturionen;Zenturionen;Zenturionen;Zenturionen
