// Auto-generated by update-wordinfo-plural.ps1
// Ingame pluralization use this file automatically.
// For declension, use plural_decline.txt
// ---
// DefInjected\RitualBehaviorDef\* (.+\.label)
Arzt;Ärzte
Mutter;Mütter
// DefInjected\ThingDef\Apparel_*.xml (.+\.chargeNoun)
Giftladung;Giftladungen
// DefInjected\ThingDef\Buildings_Furniture.xml (Blackboard\.label)
Schultafel;Schultafeln
// DefInjected\ThingDef\Items_Resource_Manufactured.xml (Wastepack\.label)
Giftmüllsack;Giftmüllsäcke
// DefInjected\ThingDef\Plants_* (.+\.label)
Baumstumpf;Baumstümpfe
Giftkartoffelpflanze;Giftkartoffelpflanzen
Graugras;Graugräser
Graukiefer;Graukiefern
Hexenwaldbaum;Hexenwaldbäume
Poluxbaum;Poluxbäume
Poluxbaumstumpf;Poluxbaumstümpfe
Poluxsamen;Poluxsamen
Rattenpalme;Rattenpalmen
Reißdorn;Reißdorne
Steinkaktus;Steinkakteen
