KEY;1_GEN_ART;2_NOM_ADJ
// Auto-generated by update-wordinfo-book.ps1
// Skill book text improvements
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; book; 2} looks up 2_NOM_ADJ.
// ---
// DefInjected\SkillDef\Skills.xml (\w+?\.generalRules\.rulesStrings)
Ackerbau;des Ackerbaus;er Ackerbau
Agrarwirtschaft;der Agrarwirtschaft;e Agrarwirtschaft
Agrikultur;der Agrikultur;e Agrikultur
Analyse;der Analyse;e Analyse
Anatomie;der Anatomie;e Anatomie
Anbau;des Anbaus;er Anbau
Architektur;der Architektur;e Architektur
Aroma;des Aromas;es Aroma
Ästhetik;der Ästhetik;e Ästhetik
Ausgrabung;der Ausgrabung;e Ausgrabung
Austausch;des Austausches;er Austausch
Backen;des Backens;es Backen
Bakterien;der Bakterien;e Bakterien
Ballistik;der Ballistik;e Ballistik
Basteln;des Bastelns;es Basteln
Bauen;des Bauens;es Bauen
Behandlung;der Behandlung;e Behandlung
Bergbau;des Bergbaus;er Bergbau
Bildhauerei;der Bildhauerei;e Bildhauerei
Bildhauern;des Bildhauerns;es Bildhauern
Biolandbau;des Biolandbaus;er Biolandbau
Biologie;der Biologie;e Biologie
Bodenpflege;der Bodenpflege;e Bodenpflege
Bohren;des Bohrens;es Bohren
Botanik;der Botanik;e Botanik
Boxen;des Boxens;es Boxen
Buddeln;des Buddelns;es Buddeln
Charisma;des Charismas;es Charisma
Chemie;der Chemie;e Chemie
Chirurgie;der Chirurgie;e Chirurgie
Datenanalyse;der Datenanalyse;e Datenanalyse
Design;des Designs;es Design
Diagnose;der Diagnose;e Diagnose
Diagnostik;der Diagnostik;e Diagnostik
Diplomatie;der Diplomatie;e Diplomatie
Distanzschießen;des Distanzschießens;es Distanzschießen
Domestizieren;des Domestizierens;es Domestizieren
Domestizierung;der Domestizierung;e Domestizierung
Duellieren;des Duellierens;es Duellieren
Durchsetzungsvermögen;des Durchsetzungsvermögens;es Durchsetzungsvermögen
Entdeckung;der Entdeckung;e Entdeckung
