KEY;1_OUT
// Auto-generated by update-wordinfo-capacity.ps1
// Capacity text improvements
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; capacity; 1} looks up 1_OUT.
// ---
// DefInjected\PawnCapacityDef\* (\w+\.label.*?)
Körperfunktion 'Arbeiten';Arbeitsfähigkeit
Körperfunktion 'Atmen';Atmungsfähigkeit
Körperfunktion 'Batterieintegrität';Batterieintegrität
Körperfunktion 'Bewegen';Bewegungsfähigkeit
Körperfunktion 'Bewusstsein';Bewusstseinsfähigkeit
Körperfunktion 'Blutproduktion';Blutproduktion
Körperfunktion 'Blutreinheit';Blutfiltration
Körperfunktion 'Datenverarbeitung';Datenverarbeitung
Körperfunktion 'Empfindung';Empfindungsfähigkeit
Körperfunktion 'Essen';Essfähigkeit
Körperfunktion 'Hören';Hörfähigkeit
Körperfunktion 'Kommunizieren';Kommunikationsfähigkeit
Körperfunktion 'Leistung';Leistungsfähigkeit
Körperfunktion 'Pneumatik';Pneumatik
Körperfunktion 'Sehen';Sehfähigkeit
Körperfunktion 'Sprechen';Sprechfähigkeit
Körperfunktion 'Stromerzeugung';Stromerzeugung
Körperfunktion 'Verdauung';Verdauung
Körperfunktion 'Wasseraufbereitung';Wasseraufbereitung
unfähig für Arbeiten;arbeitsunfähig
unfähig für Atmen;unfähig zu atmen
unfähig für Batterieintegrität;unfähig Batterie zu nutzen
unfähig für Bewegen;bewegungsunfähig
unfähig für Bewusstsein;bewusstlos
unfähig für Blutproduktion;unfähig Blut zu produzieren
unfähig für Blutreinheit;unfähig Blut zu filtern
unfähig für Datenverarbeitung;unfähig Daten zu verarbeiten
unfähig für Empfindung;unfähig zu empfinden
unfähig für Essen;unfähig zu essen
unfähig für Hören;taub
unfähig für Kommunizieren;unfähig zu kommunizieren
unfähig für Leistung;leistungsunfähig
unfähig für Pneumatik;unfähig Pneumatik zu nutzen
unfähig für Sehen;blind
unfähig für Sprechen;stumm
unfähig für Stromerzeugung;unfähig Strom zu erzeugen
unfähig für Verdauung;unfähig zu verdauen
unfähig für Wasseraufbereitung;unfähig Flüssigkeiten aufzubereiten
