NOM;1_COM_PRE
// Auto-generated by update-wordinfo-compound.ps1
// Compound words (as prefix), e.g. Piraten in Piratengruppe
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; compound; 1} looks up 1_COM_PRE.
// ---
// DefInjected\FactionDef\* (\w+\.pawnSingular)
Antiker;Antiker
Außenweltler;Außenweltler
Insekt;Insekten
Kolonist;Kolonisten
Mechanoid;Mechanoiden
Pirat;Piraten
Stammesmitglied;Stammesmitglied
Ureinwohner;Ureinwohner
// DefInjected\ThingDef\Plants_* (\w+\.label)
Agarilux;Agarilux
Agave;Agaven
Ahorn;Ahorn
Ambrosiabusch;Ambrosiabusch
Ameisenbaum;Ameisenbaum
Bambus;Bambus
Baumstumpf;Baumstumpf
Baumwollpflanze;Baumwollpflanzen
Beerenstrauch;Beerenstrauch
Birke;Birken
Bryolux;Bryolux
Busch;Busch
Dornenstrauch;Dornenstrauch
Drachenbaum;Drachenbaum
Eiche;Eichen
Erdbeerpflanze;Erdbeerpflanzen
Farbstoff;Farbstoff
Gras;Gras
Heilwurzel;Heilwurzel
Heugras;Heugras
hohes Gras;Gras
Holzpilz;Holzpilz
Hopfenpflanze;Hopfenpflanzen
Kakaobaum;Kakaobaum
Kartoffelpflanze;Kartoffelpflanzen
Kiefer;Kiefern
Klivie;Klivien
Löwenzahn;Löwenzahn
Maispflanze;Maispflanzen
Moos;Moos
niedriges Gestrüpp;Gestrüpp
Palme;Palmen
Pappel;Pappel
Pfeilblatt;Pfeilblatt
Psychoidpflanze;Psychoidpflanzen
Rauchblattpflanze;Rauchblattpflanzen
Reispflanze;Reispflanzen
Riesenkaktus;Riesenkaktus
Riesenrafflesie;Riesenrafflesien
Rose;Rosen
Schimmerling;Schimmerling
Schlingpflanze;Schlingpflanzen
Taglilie;Taglilien
Teakbaum;Teakbaum
Teufelsgarnpilz;Teufelsgarnpilz
Tinktoria;Tinktoria
Tragant;Traganten
Warzenkaktus;Warzenkakteen
Weide;Weiden
wilde Heilwurzel;Heilwurzel
Zypresse;Zypressen
