NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF;8_CON
// Singular declension (indefinite and definite)
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline; 2} looks up 2_DAT.
//
Kolonist;Kolonisten;Kolonisten;Kolonisten;Kolonist;Kolonisten;Kolonisten;Kolonisten;
Personakern;Personakerns;Personakern;Personakern;Personakern;Personakerns;Personakern;Personakern;Personakern
Pirat;Piraten;Piraten;Piraten;Pirat;Piraten;Piraten;Piraten;Piraten
verstärkter Lauf;verstärkten Laufs;verstärkten Lauf;verstärkten Lauf;verstärkte Lauf;verstärkten Laufs;verstärkten Lauf;verstärkten Lauf;
Verwandter;Verwandten;Verwandten;Verwandten;Verwandte;Verwandten;Verwandten;Verwandten;
//
// pawns
Bogenschütze;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschütze;Bogenschützen;Bogenschützen;Bogenschützen;
schwerer Bogenschütze;schweren Bogenschützen;schweren Bogenschützen;schweren Bogenschützen;schwere Bogenschütze;schweren Bogenschützen;schweren Bogenschützen;schweren Bogenschützen;
Söldnerschütze;Söldnerschützen;Söldnerschützen;Söldnerschützen;Söldnerschütze;Söldnerschützen;Söldnerschützen;Söldnerschützen;
Söldnerscharfschütze;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschütze;Söldnerscharfschützen;Söldnerscharfschützen;Söldnerscharfschützen;
//
// weather types
nebliger Regen;nebligen Regens;nebligen Regen;nebligen Regen;neblige Regen;nebligen Regen;nebligen Regen;nebligen Regen;
leichter Schneefall;leichten Schneefalls;leichten Schneefall;leichten Schneefall;leichte Schneefall;leichten Schneefall;leichten Schneefall;leichten Schneefall;
starker Schneefall;starken Schneefalls;starken Schneefall;starken Schneefall;starke Schneefall;starken Schneefall;starken Schneefall;starken Schneefall;
//
// sites
bewegungsunfähiger Flüchtling;bewegungsunfähigen Flüchtlings;bewegungsunfähigen Flüchtling;bewegungsunfähigen Flüchtling;bewegungsunfähige Flüchtling;bewegungsunfähigen Flüchtlings;bewegungsunfähigen Flüchtling;bewegungsunfähigen Flüchtling;
