NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-decline-other.ps1
// Declension for special cases
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline_other; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Antiker;Antiker;Antikern;Antiker;Antiker;Antiker;Antikern;Antiker
Außenweltler;Außenweltler;Außenweltlern;Außenweltler;Außenweltler;Außenweltler;Außenweltlern;Außenweltler
Insekten;Insekten;Insekten;Insekten;Insekten;Insekten;Insekten;Insekten
Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten
Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden
Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten
Stammesmitglieder;Stammesmitglieder;Stammesmitgliedern;Stammesmitglieder;Stammesmitglieder;Stammesmitglieder;Stammesmitgliedern;Stammesmitglieder
Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner;Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner
// DefInjected\HediffDef\* (\w+\.labelNoun)
Dreck;Drecks;Dreck;Dreck;Dreck;Drecks;Dreck;Dreck
ein Alkoholrausch;eines Alkoholrauschs;einem Alkoholrausch;einen Alkoholrausch;der Alkoholrausch;des Alkoholrauschs;dem Alkoholrausch;den Alkoholrausch
ein Archotech-Arm;eines Archotech-Arms;einem Archotech-Arm;einen Archotech-Arm;der Archotech-Arm;des Archotech-Arms;dem Archotech-Arm;den Archotech-Arm
ein Archotech-Auge;eines Archotech-Auges;einem Archotech-Auge;ein Archotech-Auge;das Archotech-Auge;des Archotech-Auges;dem Archotech-Auge;das Archotech-Auge
ein Archotech-Bein;eines Archotech-Beins;einem Archotech-Bein;ein Archotech-Bein;das Archotech-Bein;des Archotech-Beins;dem Archotech-Bein;das Archotech-Bein
ein Ausrüstungszersetzer;eines Ausrüstungszersetzers;einem Ausrüstungszersetzer;einen Ausrüstungszersetzer;der Ausrüstungszersetzer;des Ausrüstungszersetzers;dem Ausrüstungszersetzer;den Ausrüstungszersetzer
ein bionischer Arm;eines bionischen Arms;einem bionischen Arm;einen bionischen Arm;der bionische Arm;des bionischen Arms;dem bionischen Arm;den bionischen Arm
ein bionischer Kiefer;eines bionischen Kiefers;einem bionischen Kiefer;einen bionischen Kiefer;der bionische Kiefer;des bionischen Kiefers;dem bionischen Kiefer;den bionischen Kiefer
ein bionischer Magen;eines bionischen Magens;einem bionischen Magen;einen bionischen Magen;der bionische Magen;des bionischen Magens;dem bionischen Magen;den bionischen Magen
ein bionisches Auge;eines bionischen Auges;einem bionischen Auge;ein bionisches Auge;das bionische Auge;des bionischen Auges;dem bionischen Auge;das bionische Auge
ein bionisches Bein;eines bionischen Beins;einem bionischen Bein;ein bionisches Bein;das bionische Bein;des bionischen Beins;dem bionischen Bein;das bionische Bein
ein bionisches Herz;eines bionischen Herzes;einem bionischen Herz;ein bionisches Herz;das bionische Herz;des bionischen Herzes;dem bionischen Herz;das bionische Herz
ein bionisches Ohr;eines bionischen Ohrs;einem bionischen Ohr;ein bionisches Ohr;das bionische Ohr;des bionischen Ohrs;dem bionischen Ohr;das bionische Ohr
ein Bruch;eines Bruchs;einem Bruch;einen Bruch;der Bruch;des Bruchs;dem Bruch;den Bruch
ein chirurgischer Schnitt;eines chirurgischen Schnitts;einem chirurgischen Schnitt;einen chirurgischen Schnitt;der chirurgische Schnitt;des chirurgischen Schnitts;dem chirurgischen Schnitt;den chirurgischen Schnitt
ein Cochlea-Implantat;eines Cochlea-Implantats;einem Cochlea-Implantat;ein Cochlea-Implantat;das Cochlea-Implantat;des Cochlea-Implantats;dem Cochlea-Implantat;das Cochlea-Implantat
ein fehlender Körperteil;eines fehlenden Körperteils;einem fehlenden Körperteil;einen fehlenden Körperteil;der fehlende Körperteil;des fehlenden Körperteils;dem fehlenden Körperteil;den fehlenden Körperteil
ein Flake-Rausch;eines Flake-Rauschs;einem Flake-Rausch;einen Flake-Rausch;der Flake-Rausch;des Flake-Rauschs;dem Flake-Rausch;den Flake-Rausch
ein Gebiss;eines Gebisses;einem Gebiss;ein Gebiss;das Gebiss;des Gebisses;dem Gebiss;das Gebiss
ein Go-Juice-Rausch;eines Go-Juice-Rauschs;einem Go-Juice-Rausch;einen Go-Juice-Rausch;der Go-Juice-Rausch;des Go-Juice-Rauschs;dem Go-Juice-Rausch;den Go-Juice-Rausch
ein Grauer Star;eines Grauen Stars;einem Grauen Star;einen Grauen Star;der Graue Star;des Grauen Stars;dem Grauen Star;den Grauen Star
ein Herzinfarkt;eines Herzinfarkts;einem Herzinfarkt;einen Herzinfarkt;der Herzinfarkt;des Herzinfarkts;dem Herzinfarkt;den Herzinfarkt
ein Hirnschock;eines Hirnschocks;einem Hirnschock;einen Hirnschock;der Hirnschock;des Hirnschocks;dem Hirnschock;den Hirnschock
ein Holzbein;eines Holzbeins;einem Holzbein;ein Holzbein;das Holzbein;des Holzbeins;dem Holzbein;das Holzbein
ein Holzfuß;eines Holzfußes;einem Holzfuß;einen Holzfuß;der Holzfuß;des Holzfußes;dem Holzfuß;den Holzfuß
ein Joywire-Implantat;eines Joywire-Implantats;einem Joywire-Implantat;ein Joywire-Implantat;das Joywire-Implantat;des Joywire-Implantats;dem Joywire-Implantat;das Joywire-Implantat
ein katatonischer Zusammenbruch;eines katatonischen Zusammenbruchs;einem katatonischen Zusammenbruch;einen katatonischen Zusammenbruch;der katatonische Zusammenbruch;des katatonischen Zusammenbruchs;dem katatonischen Zusammenbruch;den katatonischen Zusammenbruch
ein Kater;eines Katers;einem Kater;einen Kater;der Kater;des Katers;dem Kater;den Kater
ein Kratzer;eines Kratzers;einem Kratzer;einen Kratzer;der Kratzer;des Kratzers;dem Kratzer;den Kratzer
ein Krebsgeschwür;eines Krebsgeschwürs;einem Krebsgeschwür;ein Krebsgeschwür;das Krebsgeschwür;des Krebsgeschwürs;dem Krebsgeschwür;das Krebsgeschwür
ein künstliches Herz;eines künstlichen Herzes;einem künstlichen Herz;ein künstliches Herz;das künstliche Herz;des künstlichen Herzes;dem künstlichen Herz;das künstliche Herz
ein mentaler Kater;eines mentalen Katers;einem mentalen Kater;einen mentalen Kater;der mentale Kater;des mentalen Katers;dem mentalen Kater;den mentalen Kater
ein mentaler Schock;eines mentalen Schocks;einem mentalen Schock;einen mentalen Schock;der mentale Schock;des mentalen Schocks;dem mentalen Schock;den mentalen Schock
ein mentales Koma;eines mentalen Komas;einem mentalen Koma;ein mentales Koma;das mentale Koma;des mentalen Komas;dem mentalen Koma;das mentale Koma
ein Muntermacherrausch;eines Muntermacherrauschs;einem Muntermacherrausch;einen Muntermacherrausch;der Muntermacherrausch;des Muntermacherrauschs;dem Muntermacherrausch;den Muntermacherrausch
ein Psychitteerausch;eines Psychitteerauschs;einem Psychitteerausch;einen Psychitteerausch;der Psychitteerausch;des Psychitteerauschs;dem Psychitteerausch;den Psychitteerausch
ein Rauchblattrausch;eines Rauchblattrauschs;einem Rauchblattrausch;einen Rauchblattrausch;der Rauchblattrausch;des Rauchblattrauschs;dem Rauchblattrausch;den Rauchblattrausch
ein schmerzender Rücken;eines schmerzenden Rückens;einem schmerzenden Rücken;einen schmerzenden Rücken;der schmerzende Rücken;des schmerzenden Rückens;dem schmerzenden Rücken;den schmerzenden Rücken
ein Schmerzstopper-Implantat;eines Schmerzstopper-Implantats;einem Schmerzstopper-Implantat;ein Schmerzstopper-Implantat;das Schmerzstopper-Implantat;des Schmerzstopper-Implantats;dem Schmerzstopper-Implantat;das Schmerzstopper-Implantat
ein Schnitt;eines Schnitts;einem Schnitt;einen Schnitt;der Schnitt;des Schnitts;dem Schnitt;den Schnitt
ein Trauma;eines Traumas;einem Trauma;ein Trauma;das Trauma;des Traumas;dem Trauma;das Trauma
ein Yayo-Rausch;eines Yayo-Rauschs;einem Yayo-Rausch;einen Yayo-Rausch;der Yayo-Rausch;des Yayo-Rauschs;dem Yayo-Rausch;den Yayo-Rausch
ein zerfallenes Organ;eines zerfallenen Organs;einem zerfallenen Organ;ein zerfallenes Organ;das zerfallene Organ;des zerfallenen Organs;dem zerfallenen Organ;das zerfallene Organ
eine Armprothese;einer Armprothese;einer Armprothese;eine Armprothese;die Armprothese;der Armprothese;der Armprothese;die Armprothese
eine Arterienverstopfung;einer Arterienverstopfung;einer Arterienverstopfung;eine Arterienverstopfung;die Arterienverstopfung;der Arterienverstopfung;der Arterienverstopfung;die Arterienverstopfung
eine Beinprothese;einer Beinprothese;einer Beinprothese;eine Beinprothese;die Beinprothese;der Beinprothese;der Beinprothese;die Beinprothese
eine bionische Wirbelsäule;einer bionischen Wirbelsäule;einer bionischen Wirbelsäule;eine bionische Wirbelsäule;die bionische Wirbelsäule;der bionischen Wirbelsäule;der bionischen Wirbelsäule;die bionische Wirbelsäule
eine bionische Zunge;einer bionischen Zunge;einer bionischen Zunge;eine bionische Zunge;die bionische Zunge;der bionischen Zunge;der bionischen Zunge;die bionische Zunge
eine Bisswunde;einer Bisswunde;einer Bisswunde;eine Bisswunde;die Bisswunde;der Bisswunde;der Bisswunde;die Bisswunde
eine elektrische Verbrennung;einer elektrischen Verbrennung;einer elektrischen Verbrennung;eine elektrische Verbrennung;die elektrische Verbrennung;der elektrischen Verbrennung;der elektrischen Verbrennung;die elektrische Verbrennung
eine Erfrierung;einer Erfrierung;einer Erfrierung;eine Erfrierung;die Erfrierung;der Erfrierung;der Erfrierung;die Erfrierung
eine Explosionswunde;einer Explosionswunde;einer Explosionswunde;eine Explosionswunde;die Explosionswunde;der Explosionswunde;der Explosionswunde;die Explosionswunde
eine Grippe;einer Grippe;einer Grippe;eine Grippe;die Grippe;der Grippe;der Grippe;die Grippe
eine Holzhand;einer Holzhand;einer Holzhand;eine Holzhand;die Holzhand;der Holzhand;der Holzhand;die Holzhand
eine Powerklaue;einer Powerklaue;einer Powerklaue;eine Powerklaue;die Powerklaue;der Powerklaue;der Powerklaue;die Powerklaue
eine Prellung;einer Prellung;einer Prellung;eine Prellung;die Prellung;der Prellung;der Prellung;die Prellung
eine Quetschung;einer Quetschung;einer Quetschung;eine Quetschung;die Quetschung;der Quetschung;der Quetschung;die Quetschung
eine Säureverätzung;einer Säureverätzung;einer Säureverätzung;eine Säureverätzung;die Säureverätzung;der Säureverätzung;der Säureverätzung;die Säureverätzung
eine Schusswunde;einer Schusswunde;einer Schusswunde;eine Schusswunde;die Schusswunde;der Schusswunde;der Schusswunde;die Schusswunde
