KEY;1_OUT
// Auto-generated by update-wordinfo-hediff.ps1
// Declension for special cases
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; hediff; 1} looks up 1_OUT.
// ---
// DefInjected\HediffDef\* (\w+\.labelNoun)
von Dreck;von Dreck
von ein Alkoholrausch;eines Alkoholrauschs
von ein Archotech-Arm;eines Archotech-Arms
von ein Archotech-Auge;eines Archotech-Auges
von ein Archotech-Bein;eines Archotech-Beins
von ein Ausrüstungszersetzer;eines Ausrüstungszersetzers
von ein bionischer Arm;eines bionischen Arms
von ein bionischer Kiefer;eines bionischen Kiefers
von ein bionischer Magen;eines bionischen Magens
von ein bionisches Auge;eines bionischen Auges
von ein bionisches Bein;eines bionischen Beins
von ein bionisches Herz;eines bionischen Herzes
von ein bionisches Ohr;eines bionischen Ohrs
von ein Bruch;eines Bruchs
von ein chirurgischer Schnitt;eines chirurgischen Schnitts
von ein Cochlea-Implantat;eines Cochlea-Implantats
von ein fehlender Körperteil;eines fehlenden Körperteils
von ein Flake-Rausch;eines Flake-Rauschs
von ein Gebiss;eines Gebisses
von ein Go-Juice-Rausch;eines Go-Juice-Rauschs
von ein Grauer Star;eines Grauen Stars
von ein Herzinfarkt;eines Herzinfarkts
von ein Hirnschock;eines Hirnschocks
von ein Holzbein;eines Holzbeins
von ein Holzfuß;eines Holzfußes
von ein Joywire-Implantat;eines Joywire-Implantats
von ein katatonischer Zusammenbruch;eines katatonischen Zusammenbruchs
von ein Kater;eines Katers
von ein Kratzer;eines Kratzers
von ein Krebsgeschwür;eines Krebsgeschwürs
von ein künstliches Herz;eines künstlichen Herzes
von ein mentaler Kater;eines mentalen Katers
von ein mentaler Schock;eines mentalen Schocks
von ein mentales Koma;eines mentalen Komas
von ein Muntermacherrausch;eines Muntermacherrauschs
von ein Psychitteerausch;eines Psychitteerauschs
von ein Rauchblattrausch;eines Rauchblattrauschs
von ein schmerzender Rücken;eines schmerzenden Rückens
von ein Schmerzstopper-Implantat;eines Schmerzstopper-Implantats
von ein Schnitt;eines Schnitts
von ein Trauma;eines Traumas
von ein Yayo-Rausch;eines Yayo-Rauschs
von ein zerfallenes Organ;eines zerfallenen Organs
von eine Armprothese;einer Armprothese
von eine Arterienverstopfung;einer Arterienverstopfung
von eine Beinprothese;einer Beinprothese
von eine bionische Wirbelsäule;einer bionischen Wirbelsäule
von eine bionische Zunge;einer bionischen Zunge
von eine Bisswunde;einer Bisswunde
von eine elektrische Verbrennung;einer elektrischen Verbrennung
von eine Erfrierung;einer Erfrierung
von eine Explosionswunde;einer Explosionswunde
von eine Grippe;einer Grippe
von eine Holzhand;einer Holzhand
von eine Powerklaue;einer Powerklaue
von eine Prellung;einer Prellung
von eine Quetschung;einer Quetschung
von eine Säureverätzung;einer Säureverätzung
von eine Schusswunde;einer Schusswunde
von eine Schwangerschaft;einer Schwangerschaft
von eine Seuche;einer Seuche
von eine Skariainfektion;einer Skariainfektion
von eine Stichwunde;einer Stichwunde
von eine Strahlenverbrennung;einer Strahlenverbrennung
von eine Überdosis Drogen;einer Überdosis Drogen
von eine Verätzung;einer Verätzung
von eine Verbrennung;einer Verbrennung
von eine Verletzung;einer Verletzung
von eine Wundinfektion;einer Wundinfektion
von eine Wurminfektion;einer Wurminfektion
von Gebrechlichkeit;von Gebrechlichkeit
von Kies;von Kies
von Sand;von Sand
von Schlamm;von Schlamm
von Wasser;von Wasser
