// Auto-generated by update-wordinfo-plural.ps1
// Ingame pluralization use this file automatically.
// For declension, use plural_decline.txt
// ---
// DefInjected\OrderedTakeGroupDef\* (.+\.label)
Droge;Drogen
Medizin;Medizin
// DefInjected\ThingDef\Apparel_*.xml, DefInjected\ThingDef\RangedSpecial.xml (.+\.chargeNoun)
Ladung;Ladungen
Rauchladung;Rauchladungen
Schaumladung;Schaumladungen
// DefInjected\ThingDef\Buildings_Mech* (\w+\.label)
Auto-Impuls-Turm;Auto-Impuls-Türme
Auto-Inferno-Turm;Auto-Inferno-Türme
Auto-Mörser;Auto-Mörser
brennende Energiezelle;brennende Energiezellen
Infernokanone;Infernokanonen
leichter Impulsblaster;leichte Impulsblaster
Mech-Knoten;Mech-Knoten
Mini-Kugel;Mini-Kugeln
Mini-Kugelwerfer;Mini-Kugelwerfer
Mini-Kugelwerfer-Turm;Mini-Kugelwerfer-Türme
// DefInjected\ThingDef\Buildings_Natural.xml (Mineable\w+\.label)
Golderz;Golderze
Jade;Jade
Maschinenreste;Maschinenreste
Plastahlreste;Plastahlreste
Silbererz;Silbererze
Stahlreste;Stahlreste
Uranerz;Uranerze
// DefInjected\ThingDef\Buildings_Misc.xml (TransportPod\.label)
Transportkapsel;Transportkapseln
// DefInjected\ThingDef\Plants_* (.+\.label)
Agarilux;Agariluxe
Agave;Agaven
Ahorn;Ahorne
Ambrosiabusch;Ambrosiabüsche
Ameisenbaum;Ameisenbäume
Bambus;Bambusse
Baumstumpf;Baumstümpfe
Baumwollpflanze;Baumwollpflanzen
Beerenstrauch;Beerensträucher
Birke;Birken
Bryolux;Bryoluxe
Busch;Büsche
Dornenstrauch;Dornensträucher
Drachenbaum;Drachenbäume
Eiche;Eichen
Erdbeerpflanze;Erdbeerpflanzen
Farbstoff;Farbstoffe
Gras;Gräser
Heilwurzel;Heilwurzeln
Heugras;Heugräser
hohes Gras;hohe Gräser
Holzpilz;Holzpilze
Hopfenpflanze;Hopfenpflanzen
Kakaobaum;Kakaobäume
Kartoffelpflanze;Kartoffelpflanzen
Kiefer;Kiefern
Klivie;Klivien
Löwenzahn;Löwenzähne
Maispflanze;Maispflanzen
Moos;Moose
niedriges Gestrüpp;niedrige Gestrüppe
Palme;Palmen
Pappel;Pappeln
Pfeilblatt;Pfeilblätter
Psychoidpflanze;Psychoidpflanzen
Rauchblattpflanze;Rauchblattpflanzen
Reispflanze;Reispflanzen
Riesenkaktus;Riesenkakteen
Riesenrafflesie;Riesenrafflesien
Rose;Rosen
Schimmerling;Schimmerlinge
Schlingpflanze;Schlingpflanzen
Taglilie;Taglilien
Teakbaum;Teakbäume
Teufelsgarnpilz;Teufelsgarnpilze
Tinktoria;Tinktoriapflanzen
Tragant;Traganten
Warzenkaktus;Warzenkakteen
Weide;Weiden
wilde Heilwurzel;wilde Heilwurzeln
Zypresse;Zypressen
// DefInjected\ThingDef\Various_Stone.xml (Chunk\w+\.label)
Granitbrocken;Granitbrocken
Kalksteinbrocken;Kalksteinbrocken
Marmorbrocken;Marmorbrocken
Sandsteinbrocken;Sandsteinbrocken
Schieferbrocken;Schieferbrocken
Stahlschrott;Stahlschrott
