NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-plural-decline.ps1
// Plural declension (indefinite and definite)
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural_decline; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Antiker;Antiker;Antikern;Antiker;Antiker;Antiker;Antikern;Antiker
Außenweltler;Außenweltler;Außenweltlern;Außenweltler;Außenweltler;Außenweltler;Außenweltlern;Außenweltler
Insekten;Insekten;Insekten;Insekten;Insekten;Insekten;Insekten;Insekten
Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten
Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden;Mechanoiden
Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten
Stammesmitglieder;Stammesmitglieder;Stammesmitgliedern;Stammesmitglieder;Stammesmitglieder;Stammesmitglieder;Stammesmitgliedern;Stammesmitglieder
Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner;Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Affen;Affen;Affen;Affen;Affen;Affen;Affen;Affen
Alpakas;Alpakas;Alpakas;Alpakas;Alpakas;Alpakas;Alpakas;Alpakas
Alphabiber;Alphabiber;Alphabiber;Alphabiber;Alphabiber;Alphabiber;Alphabiber;Alphabiber
antike Soldaten;antiker Soldaten;antiken Soldaten;antike Soldaten;antiken Soldaten;antiken Soldaten;antiken Soldaten;antiken Soldaten
Berserker;Berserker;Berserkern;Berserker;Berserker;Berserker;Berserkern;Berserker
Berserkermeister;Berserkermeister;Berserkermeistern;Berserkermeister;Berserkermeister;Berserkermeister;Berserkermeistern;Berserkermeister
Bisons;Bisons;Bisons;Bisons;Bisons;Bisons;Bisons;Bisons
Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen;Blaster-Raupen
Bogenmeister;Bogenmeister;Bogenmeistern;Bogenmeister;Bogenmeister;Bogenmeister;Bogenmeistern;Bogenmeister
Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen;Bogenschützen
Boomalopen;Boomalopen;Boomalopen;Boomalopen;Boomalopen;Boomalopen;Boomalopen;Boomalopen
