// Provides a better ritual outcome text for <OutcomeLetterLabel>
// Outcome adjectives are located in Ritual_Outcomes.xml

// Core

Schreckliches Ritual: Führungsrede;Schreckliche Führungsrede
Uninspirierendes Ritual: Führungsrede;Uninspirierende Führungsrede
Ermutigendes Ritual: Führungsrede;Ermutigende Führungsrede
Inspirierendes Ritual: Führungsrede;Inspirierende Führungsrede

// Royalty

Schreckliches Ritual: Animabaumverbindung;Schreckliche Animabaumverbindung
Enttäuschendes Ritual: Animabaumverbindung;Enttäuschende Animabaumverbindung
Ehrenhaftes Ritual: Animabaumverbindung;Ehrenhafte Animabaumverbindung
Grandioses Ritual: Animabaumverbindung;Grandiose Animabaumverbindung

Schreckliches Ritual: Thronrede;Schreckliche Thronrede
Uninspirierendes Ritual: Thronrede;Uninspirierende Thronrede
Ermutigendes Ritual: Thronrede;Ermutigende Thronrede
Inspirierendes Ritual: Thronrede;Inspirierende Thronrede

Schreckliches Ritual: Verleihungszeremonie;Schreckliche Verleihungszeremonie
Enttäuschendes Ritual: Verleihungszeremonie;Enttäuschende Verleihungszeremonie
Ehrenhaftes Ritual: Verleihungszeremonie;Ehrenhafte Verleihungszeremonie
Grandioses Ritual: Verleihungszeremonie;Grandiose Verleihungszeremonie

// Ideology

Schreckliches Ritual: Bekehrungsritual;Schreckliches Bekehrungsritual
Ineffektives Ritual: Bekehrungsritual;Ineffektives Bekehrungsritual
Effektives Ritual: Bekehrungsritual;Effektives Bekehrungsritual
Meisterhaftes Ritual: Bekehrungsritual;Meisterhaftes Bekehrungsritual

Peinliches Ritual: Öffentliche Hinrichtung;Peinliche Hinrichtung
Überzeugendes Ritual: Öffentliche Hinrichtung;Überzeugende Hinrichtung
Spektakuläres Ritual: Öffentliche Hinrichtung;Spektakuläre Hinrichtung

Gescheitertes Ritual: Rollenwechsel;Rollenwechsel gescheitert
Erfolgreiches Ritual: Rollenwechsel;Rollenwechsel vollzogen

Schreckliches Ritual: Tanzparty;Schreckliche Tanzparty
Langweiliges Ritual: Tanzparty;Langweilige Tanzparty
Spaßiges Ritual: Tanzparty;Spaßige Tanzparty
Unvergessliches Ritual: Tanzparty;Unvergessliche Tanzparty

Schreckliches Ritual: Trommelparty;Schreckliche Trommelparty
Langweiliges Ritual: Trommelparty;Langweilige Trommelparty
Spaßiges Ritual: Trommelparty;Spaßige Trommelparty
Unvergessliches Ritual: Trommelparty;Unvergessliche Trommelparty

Schreckliches Ritual: Beerdigung;Schreckliche Beerdigung
Mittelmäßiges Ritual: Beerdigung;Mittelmäßige Beerdigung
Gutes Ritual: Beerdigung;Gute Beerdigung
Herzerwärmendes Ritual: Beerdigung;Herzerwärmende Beerdigung

// Biotech

Totgeburtes Ritual: Geburt;Totgeburt
Krankes Babyes Ritual: Geburt;Krankes Baby geboren
Gesundes Babyes Ritual: Geburt;Gesundes Baby geboren
Wachstumskapsel: Krankes Baby;Wachstumskapsel: Krankes Baby geboren
Wachstumskapsel: Gesundes Baby;Wachstumskapsel: Gesundes Baby geboren
