// key;nominative;genitive;dative;accusative
// example: {lookup: {1_label}; Singular; 3}    ->    dative form of the key
Anführer;Anführer;Anführers;Anführer;Anführer
antikes feindliches Terminal;antikes feindliches Terminal;antiken feindlichen Terminals;antiken feindlichen Terminal;antike feindliche Terminal
Bergbauspezialist;Bergbauspezialist;Bergbauspezialisten;Bergbauspezialisten;Bergbauspezialisten
bewegungsunfähiger Flüchtling;bewegungsunfähiger Flüchtling;bewegungsunfähigen Flüchtlings;bewegungsunfähigen Flüchtling;bewegungsunfähigen Flüchtling
Fernkampfspezialist;Fernkampfspezialist;Fernkampfspezialisten;Fernkampfspezialisten;Fernkampfspezialisten
Forschungsspezialist;Forschungsspezialist;Forschungsspezialisten;Forschungsspezialisten;Forschungsspezialisten
Medizinspezialist;Medizinspezialist;Medizinspezialisten;Medizinspezialisten;Medizinspezialisten
moralischer Führer;moralische Führer;moralischen Führers;moralischen Führer;moralischen Führer
Nahkampfspezialist;Nahkampfspezialist;Nahkampfspezialisten;Nahkampfspezialisten;Nahkampfspezialisten
paralytische Abasie;paralytische Abasie;paralytischen Abasie;paralytischer Abasie;paralytische Abasie
Pflanzenspezialist;Pflanzenspezialist;Pflanzenspezialisten;Pflanzenspezialisten;Pflanzenspezialisten
Produktionsspezialist;Produktionsspezialist;Produktionsspezialisten;Produktionsspezialisten;Produktionsspezialisten
Tierspezialist;Tierspezialist;Tierspezialisten;Tierspezialisten;Tierspezialisten
verstärkter Lauf;verstärkter Lauf;verstärkten Laufs;verstärkten Lauf;verstärkten Lauf
