NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF;8_CON
// Singular declension (indefinite and definite)
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline; 2} looks up 2_DAT.
//
// sites
antiker Komplex;antiken Komplexes;antiken Komplex;antiken Komplex;antike Komplex;antiken Komplex;antiken Komplex;antiken Komplex;
antikes feindliches Terminal;antiken feindlichen Terminals;antiken feindlichen Terminal;antikes feindliches Terminal;antike feindliche Terminal;antiken feindlichen Terminals;antiken feindlichen Terminal;antike feindliche Terminal;
//
// roles
Anführer;Anführers;Anführer;Anführer;Anführer;Anführers;Anführer;Anführer;
Bergbauspezialist;Bergbauspezialisten;Bergbauspezialisten;Bergbauspezialisten;Bergbauspezialist;Bergbauspezialisten;Bergbauspezialisten;Bergbauspezialisten;
Fernkampfspezialist;Fernkampfspezialisten;Fernkampfspezialisten;Fernkampfspezialisten;Fernkampfspezialist;Fernkampfspezialisten;Fernkampfspezialisten;Fernkampfspezialisten;
Forschungsspezialist;Forschungsspezialisten;Forschungsspezialisten;Forschungsspezialisten;Forschungsspezialist;Forschungsspezialisten;Forschungsspezialisten;Forschungsspezialisten;
Medizinspezialist;Medizinspezialisten;Medizinspezialisten;Medizinspezialisten;Medizinspezialist;Medizinspezialisten;Medizinspezialisten;Medizinspezialisten;
moralischer Führer;moralischen Führers;moralischen Führer;moralischen Führer;moralische Führer;moralischen Führers;moralischen Führer;moralischen Führer;
Nahkampfspezialist;Nahkampfspezialisten;Nahkampfspezialisten;Nahkampfspezialisten;Nahkampfspezialist;Nahkampfspezialisten;Nahkampfspezialisten;Nahkampfspezialisten;
Pflanzenspezialist;Pflanzenspezialisten;Pflanzenspezialisten;Pflanzenspezialisten;Pflanzenspezialist;Pflanzenspezialisten;Pflanzenspezialisten;Pflanzenspezialisten;
Produktionsspezialist;Produktionsspezialisten;Produktionsspezialisten;Produktionsspezialisten;Produktionsspezialist;Produktionsspezialisten;Produktionsspezialisten;Produktionsspezialisten;
Tierspezialist;Tierspezialisten;Tierspezialisten;Tierspezialisten;Tierspezialist;Tierspezialisten;Tierspezialisten;Tierspezialisten;
