NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-decline-other.ps1
// Declension for special cases
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline_other; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Bettler;Bettler;Bettlern;Bettler;Bettler;Bettler;Bettlern;Bettler
Pilger;Pilger;Pilgern;Pilger;Pilger;Pilger;Pilgern;Pilger
Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten
Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner;Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner
// DefInjected\HediffDef\* (\w+\.labelNoun)
eine Ziernarbe;einer Ziernarbe;einer Ziernarbe;eine Ziernarbe;die Ziernarbe;der Ziernarbe;der Ziernarbe;die Ziernarbe
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden
Dryaden;Dryaden;Dryaden;Dryaden;Dryaden;Dryaden;Dryaden;Dryaden
Farmer;Farmer;Farmern;Farmer;Farmer;Farmer;Farmern;Farmer
Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden
Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden
Holzfäller;Holzfäller;Holzfällern;Holzfäller;Holzfäller;Holzfäller;Holzfällern;Holzfäller
Jäger;Jäger;Jägern;Jäger;Jäger;Jäger;Jägern;Jäger
Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden
Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden
Minenarbeiter;Minenarbeiter;Minenarbeitern;Minenarbeiter;Minenarbeiter;Minenarbeiter;Minenarbeitern;Minenarbeiter
Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden
schwerbewaffnete Reisende;schwerbewaffneter Reisender;schwerbewaffneten Reisenden;schwerbewaffnete Reisende;schwerbewaffneten Reisenden;schwerbewaffneten Reisenden;schwerbewaffneten Reisenden;schwerbewaffneten Reisenden
Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden
