NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-plural-decline.ps1
// Plural declension (indefinite and definite)
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural_decline; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Bettler;Bettler;Bettlern;Bettler;Bettler;Bettler;Bettlern;Bettler
Pilger;Pilger;Pilgern;Pilger;Pilger;Pilger;Pilgern;Pilger
Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten
Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner;Ureinwohner;Ureinwohner;Ureinwohnern;Ureinwohner
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden;Beerendryaden
Dryaden;Dryaden;Dryaden;Dryaden;Dryaden;Dryaden;Dryaden;Dryaden
Farmer;Farmer;Farmern;Farmer;Farmer;Farmer;Farmern;Farmer
Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden;Gaudryaden
Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden;Holzdryaden
Holzfäller;Holzfäller;Holzfällern;Holzfäller;Holzfäller;Holzfäller;Holzfällern;Holzfäller
Jäger;Jäger;Jägern;Jäger;Jäger;Jäger;Jägern;Jäger
Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden;Krallendryaden
Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden;Medizindryaden
Minenarbeiter;Minenarbeiter;Minenarbeitern;Minenarbeiter;Minenarbeiter;Minenarbeiter;Minenarbeitern;Minenarbeiter
Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden;Rindenhautdryaden
schwerbewaffnete Reisende;schwerbewaffneter Reisender;schwerbewaffneten Reisenden;schwerbewaffnete Reisende;schwerbewaffneten Reisenden;schwerbewaffneten Reisenden;schwerbewaffneten Reisenden;schwerbewaffneten Reisenden
Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden;Trägerdryaden
// WordInfo\plural.txt
Blender;Blender;Blendern;Blender;Blender;Blender;Blendern;Blender
Bonsai-Bäume;Bonsai-Bäume;Bonsai-Bäumen;Bonsai-Bäume;Bonsai-Bäume;Bonsai-Bäume;Bonsai-Bäumen;Bonsai-Bäume
Duellanten;Duellanten;Duellanten;Duellanten;Duellanten;Duellanten;Duellanten;Duellanten
Fasermaispflanzen;Fasermaispflanzen;Fasermaispflanzen;Fasermaispflanzen;Fasermaispflanzen;Fasermaisepflanzen;Fasermaispflanzen;Fasermaispflanzen
Gauralanbäume;Gauralanbäume;Gauralanbäumen;Gauralanbäume;Gauralanbäume;Gauralanbäume;Gauralanbäumen;Gauralanbäume
Gauralanbaumstümpfe;Gauralanbaumstümpfe;Gauralanbaumstümpfen;Gauralanbaumstümpfe;Gauralanbaumstümpfe;Gauralanbaumstümpfe;Gauralanbaumstümpfen;Gauralanbaumstümpfe
Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln;Gauralankapseln
Gauralanmoose;Gauralanmoose;Gauralanmoosen;Gauralanmoose;Gauralanmoose;Gauralanmoose;Gauralanmoosen;Gauralanmoose
Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen;Gauralansamen
Gefangenen;Gefangenen;Gefangenen;Gefangenen;Gefangenen;Gefangenen;Gefangenen;Gefangenen
Gottheiten;Gottheiten;Gottheiten;Gottheiten;Gottheiten;Gottheiten;Gottheiten;Gottheiten
Helfer;Helfer;Helfern;Helfer;Helfer;Helfer;Helfern;Helfer
Henker;Henker;Henkern;Henker;Henker;Henker;Henkern;Henker
Konvertiten;Konvertiten;Konvertiten;Konvertiten;Konvertiten;Konvertiten;Konvertiten;Konvertiten
Nährpilze;Nährpilze;Nährpilzen;Nährpilze;Nährpilze;Nährpilze;Nährpilzen;Nährpilze
Narbenmacher;Narbenmacher;Narbenmachern;Narbenmacher;Narbenmacher;Narbenmacher;Narbenmachern;Narbenmacher
Opfergaben;Opfergaben;Opfergaben;Opfergaben;Opfergaben;Opfergaben;Opfergaben;Opfergaben
Redner;Redner;Rednern;Redner;Redner;Redner;Rednern;Redner
Richter;Richter;Richtern;Richter;Richter;Richter;Richtern;Richter
Rollenwechsler;Rollenwechsler;Rollenwechslern;Rollenwechsler;Rollenwechsler;Rollenwechsler;Rollenwechslern;Rollenwechsler
Verbinder;Verbinder;Verbindern;Verbinder;Verbinder;Verbinder;Verbindern;Verbinder
Verurteilte;Verurteilter;Verurteilten;Verurteilte;Verurteilten;Verurteilten;Verurteilten;Verurteilten
Vollstrecker;Vollstrecker;Vollstreckern;Vollstrecker;Vollstrecker;Vollstrecker;Vollstreckern;Vollstrecker
Ziele;Ziele;Zielen;Ziele;Ziele;Ziele;Zielen;Ziele
