// Provides a better ritual outcome text for <OutcomeLetterLabel>
// Outcome adjectives are located in Ritual_Outcomes.xml

Schreckliches Ritual: Bekehrungsritual;Schreckliches Bekehrungsritual
Ineffektives Ritual: Bekehrungsritual;Ineffektives Bekehrungsritual
Effektives Ritual: Bekehrungsritual;Effektives Bekehrungsritual
Meisterhaftes Ritual: Bekehrungsritual;Meisterhaftes Bekehrungsritual

Peinliches Ritual: Öffentliche Hinrichtung;Peinliche Hinrichtung
Überzeugendes Ritual: Öffentliche Hinrichtung;Überzeugende Hinrichtung
Spektakuläres Ritual: Öffentliche Hinrichtung;Spektakuläre Hinrichtung

Gescheitertes Ritual: Rollenwechsel;Rollenwechsel gescheitert
Erfolgreiches Ritual: Rollenwechsel;Rollenwechsel vollzogen

Schreckliches Ritual: Tanzparty;Schreckliche Tanzparty
Langweiliges Ritual: Tanzparty;Langweilige Tanzparty
Spaßiges Ritual: Tanzparty;Spaßige Tanzparty
Unvergessliches Ritual: Tanzparty;Unvergessliche Tanzparty

Schreckliches Ritual: Trommelparty;Schreckliche Trommelparty
Langweiliges Ritual: Trommelparty;Langweilige Trommelparty
Spaßiges Ritual: Trommelparty;Spaßige Trommelparty
Unvergessliches Ritual: Trommelparty;Unvergessliche Trommelparty

Schreckliches Ritual: Beerdigung;Schreckliche Beerdigung
Mittelmäßiges Ritual: Beerdigung;Mittelmäßige Beerdigung
Gutes Ritual: Beerdigung;Gute Beerdigung
Herzerwärmendes Ritual: Beerdigung;Herzerwärmende Beerdigung
