NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-decline-other.ps1
// Declension for special cases
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline_other; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Gildenmitglieder;Gildenmitglieder;Gildenmitgliedern;Gildenmitglieder;Gildenmitglieder;Gildenmitglieder;Gildenmitgliedern;Gildenmitglieder
Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten
Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten
// DefInjected\HediffDef\* (\w+\.labelNoun)
ein Empfindungskatalysator;eines Empfindungskatalysators;einem Empfindungskatalysator;einen Empfindungskatalysator;der Empfindungskatalysator;des Empfindungskatalysators;dem Empfindungskatalysator;den Empfindungskatalysator
ein Pilotenassistent;eines Pilotenassistenten;einem Pilotenassistenten;einen Pilotenassistenten;der Pilotenassistent;des Pilotenassistenten;dem Pilotenassistenten;den Pilotenassistenten
eine Vakuumhautdrüse;einer Vakuumhautdrüse;einer Vakuumhautdrüse;eine Vakuumhautdrüse;die Vakuumhautdrüse;der Vakuumhautdrüse;der Vakuumhautdrüse;die Vakuumhautdrüse
eine Vakuumverbrennung;einer Vakuumverbrennung;einer Vakuumverbrennung;eine Vakuumverbrennung;die Vakuumverbrennung;der Vakuumverbrennung;der Vakuumverbrennung;die Vakuumverbrennung
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Alligatoren;Alligatoren;Alligatoren;Alligatoren;Alligatoren;Alligatoren;Alligatoren;Alligatoren
Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos
antike Captains;antiker Captains;antiken Captains;antike Captains;antiken Captains;antiken Captains;antiken Captains;antiken Captains
Aras;Aras;Aras;Aras;Aras;Aras;Aras;Aras
Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten
Besatzungsmitglieder;Besatzungsmitglieder;Besatzungsmitgliedern;Besatzungsmitglieder;Besatzungsmitglieder;Besatzungsmitglieder;Besatzungsmitgliedern;Besatzungsmitglieder
Dachse;Dachse;Dachsen;Dachse;Dachse;Dachse;Dachsen;Dachse
Einsiedlerkrebse;Einsiedlerkrebse;Einsiedlerkrebsen;Einsiedlerkrebse;Einsiedlerkrebse;Einsiedlerkrebse;Einsiedlerkrebsen;Einsiedlerkrebse
Elche;Elche;Elchen;Elche;Elche;Elche;Elchen;Elche
Flamingos;Flamingos;Flamingos;Flamingos;Flamingos;Flamingos;Flamingos;Flamingos
Flusspferde;Flusspferde;Flusspferden;Flusspferde;Flusspferde;Flusspferde;Flusspferden;Flusspferde
Geier;Geier;Geiern;Geier;Geier;Geier;Geiern;Geier
Gildenbürger;Gildenbürger;Gildenbürgern;Gildenbürger;Gildenbürger;Gildenbürger;Gildenbürgern;Gildenbürger
Gildenschlitzer;Gildenschlitzer;Gildenschlitzern;Gildenschlitzer;Gildenschlitzer;Gildenschlitzer;Gildenschlitzern;Gildenschlitzer
Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen
Gildenspezialisten;Gildenspezialisten;Gildenspezialisten;Gildenspezialisten;Gildenspezialisten;Gildenspezialisten;Gildenspezialisten;Gildenspezialisten
Gorillas;Gorillas;Gorillas;Gorillas;Gorillas;Gorillas;Gorillas;Gorillas
Großwölfe;Großwölfe;Großwölfen;Großwölfe;Großwölfe;Großwölfe;Großwölfen;Großwölfe
Gürteltiere;Gürteltiere;Gürteltieren;Gürteltiere;Gürteltiere;Gürteltiere;Gürteltieren;Gürteltiere
Heuschrecken;Heuschrecken;Heuschrecken;Heuschrecken;Heuschrecken;Heuschrecken;Heuschrecken;Heuschrecken
Hüttensänger;Hüttensänger;Hüttensängern;Hüttensänger;Hüttensänger;Hüttensänger;Hüttensängern;Hüttensänger
Jägerdrohnen;Jägerdrohnen;Jägerdrohnen;Jägerdrohnen;Jägerdrohnen;Jägerdrohnen;Jägerdrohnen;Jägerdrohnen
Kolosskröten;Kolosskröten;Kolosskröten;Kolosskröten;Kolosskröten;Kolosskröten;Kolosskröten;Kolosskröten
Krähen;Krähen;Krähen;Krähen;Krähen;Krähen;Krähen;Krähen
Larven;Larven;Larven;Larven;Larven;Larven;Larven;Larven
Lavaschnecken;Lavaschnecken;Lavaschnecken;Lavaschnecken;Lavaschnecken;Lavaschnecken;Lavaschnecken;Lavaschnecken
Magnaten;Magnaten;Magnaten;Magnaten;Magnaten;Magnaten;Magnaten;Magnaten
Mastodonten;Mastodonten;Mastodonten;Mastodonten;Mastodonten;Mastodonten;Mastodonten;Mastodonten
Meeresschildkröten;Meeresschildkröten;Meeresschildkröten;Meeresschildkröten;Meeresschildkröten;Meeresschildkröten;Meeresschildkröten;Meeresschildkröten
Megawühlmäuse;Megawühlmäuse;Megawühlmäusen;Megawühlmäuse;Megawühlmäuse;Megawühlmäuse;Megawühlmäusen;Megawühlmäuse
Moorhunde;Moorhunde;Moorhunden;Moorhunde;Moorhunde;Moorhunde;Moorhunden;Moorhunde
Moschusochsen;Moschusochsen;Moschusochsen;Moschusochsen;Moschusochsen;Moschusochsen;Moschusochsen;Moschusochsen
Nerze;Nerze;Nerzen;Nerze;Nerze;Nerze;Nerzen;Nerze
Ochsenfrösche;Ochsenfrösche;Ochsenfröschen;Ochsenfrösche;Ochsenfrösche;Ochsenfrösche;Ochsenfröschen;Ochsenfrösche
Otter;Otter;Ottern;Otter;Otter;Otter;Ottern;Otter
Pandas;Pandas;Pandas;Pandas;Pandas;Pandas;Pandas;Pandas
Pfaue;Pfaue;Pfauen;Pfaue;Pfaue;Pfaue;Pfauen;Pfaue
Pinguine;Pinguine;Pinguinen;Pinguine;Pinguine;Pinguine;Pinguinen;Pinguine
Präriehunde;Präriehunde;Präriehunden;Präriehunde;Präriehunde;Präriehunde;Präriehunden;Präriehunde
Reiher;Reiher;Reihern;Reiher;Reiher;Reiher;Reihern;Reiher
Schrottpiraten;Schrottpiraten;Schrottpiraten;Schrottpiraten;Schrottpiraten;Schrottpiraten;Schrottpiraten;Schrottpiraten
Schrottsammler;Schrottsammler;Schrottsammlern;Schrottsammler;Schrottsammler;Schrottsammler;Schrottsammlern;Schrottsammler
Schwäne;Schwäne;Schwänen;Schwäne;Schwäne;Schwäne;Schwänen;Schwäne
Schwarmköniginnen;Schwarmköniginnen;Schwarmköniginnen;Schwarmköniginnen;Schwarmköniginnen;Schwarmköniginnen;Schwarmköniginnen;Schwarmköniginnen
schwere Gildenschützen;schwerer Gildenschützen;schweren Gildenschützen;schwere Gildenschützen;schweren Gildenschützen;schweren Gildenschützen;schweren Gildenschützen;schweren Gildenschützen
Scimitarkatzen;Scimitarkatzen;Scimitarkatzen;Scimitarkatzen;Scimitarkatzen;Scimitarkatzen;Scimitarkatzen;Scimitarkatzen
Seehunde;Seehunde;Seehunden;Seehunde;Seehunde;Seehunde;Seehunden;Seehunde
Seelöwen;Seelöwen;Seelöwen;Seelöwen;Seelöwen;Seelöwen;Seelöwen;Seelöwen
Spatzen;Spatzen;Spatzen;Spatzen;Spatzen;Spatzen;Spatzen;Spatzen
Stachelschweine;Stachelschweine;Stachelschweinen;Stachelschweine;Stachelschweine;Stachelschweine;Stachelschweinen;Stachelschweine
Steinkrabben;Steinkrabben;Steinkrabben;Steinkrabben;Steinkrabben;Steinkrabben;Steinkrabben;Steinkrabben
Tiger;Tiger;Tigern;Tiger;Tiger;Tiger;Tigern;Tiger
Vielfraße;Vielfraße;Vielfraßen;Vielfraße;Vielfraße;Vielfraße;Vielfraßen;Vielfraße
Wachteln;Wachteln;Wachteln;Wachteln;Wachteln;Wachteln;Wachteln;Wachteln
Wächterdrohnen;Wächterdrohnen;Wächterdrohnen;Wächterdrohnen;Wächterdrohnen;Wächterdrohnen;Wächterdrohnen;Wächterdrohnen
Walrosse;Walrosse;Walrossen;Walrosse;Walrosse;Walrosse;Walrossen;Walrosse
Warane;Warane;Waranen;Warane;Warane;Warane;Waranen;Warane
Wespen;Wespen;Wespen;Wespen;Wespen;Wespen;Wespen;Wespen
Zyklopen;Zyklopen;Zyklopen;Zyklopen;Zyklopen;Zyklopen;Zyklopen;Zyklopen
