// Auto-generated by update-wordinfo-plural.ps1
// Ingame pluralization use this file automatically.
// For declension, use plural_decline.txt
// ---
// DefInjected\RitualBehaviorDef\* (.+\.label)
Copilot;Copiloten
Pilot;Piloten
// DefInjected\ThingDef\Apparel_*.xml (.+\.chargeNoun)
Ladung;Ladungen
// DefInjected\ThingDef\Buildings_Natural.xml (Mineable\w+\.label)
Obsidian;Obsidian
// DefInjected\ThingDef\Plants_* (.+\.label)
Archebaum;Archebäume
Archebaumstumpf;Archebaumstümpfe
Archesamen;Archesamen
Beerenstrauch;Beerensträucher
Boompilz;Boompilze
Busch;Busche
Dornenranke;Dornenranken
Dornenstrauch;Dornensträucher
Feuerkraut;Feuerkräuter
gelbes Gras;gelbe Gräser
hohes gelbes Gras;hohe gelbe Gräser
Knorrwurzbaum;Knorrwurzbäume
Lotus;Lotus
Magmakaktus;Magmakakteen
Nachtgras;Nachtgräser
Nachtrafflesie;Nachtrafflesien
Psilopilz;Psilopilze
Rohrkolben;Rohrkolben
Schilf;Schilf
Seerosenblatt;Seerosenblätter
Weidenlamellenpilz;Weidenlamellenpilze
wilde Baumwollpflanze;wilde Baumwollpflanzen
wilde Erdbeerpflanze;wilde Erdbeerpflanzen
wilde Psychoidpflanze;wilde Psychoidpflanzen
wilde Rauchblattpflanze;wilde Rauchblattpflanzen
wilde Tinktoria;wilde Tinktoriapflanzen
wilder Fasermais;wilde Fasermaispflanzen
wilder Kakaobaum;wilde Kakaobäume
