NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-plural-decline.ps1
// Plural declension (indefinite and definite)
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural_decline; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Gildenmitglieder;Gildenmitglieder;Gildenmitgliedern;Gildenmitglieder;Gildenmitglieder;Gildenmitglieder;Gildenmitgliedern;Gildenmitglieder
Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten;Kolonisten
Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten;Piraten
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Alligatoren;Alligatoren;Alligatoren;Alligatoren;Alligatoren;Alligatoren;Alligatoren;Alligatoren
Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos;Alphathrumbos
antike Captains;antiker Captains;antiken Captains;antike Captains;antiken Captains;antiken Captains;antiken Captains;antiken Captains
Aras;Aras;Aras;Aras;Aras;Aras;Aras;Aras
Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten;Bergungseliten
Besatzungsmitglieder;Besatzungsmitglieder;Besatzungsmitgliedern;Besatzungsmitglieder;Besatzungsmitglieder;Besatzungsmitglieder;Besatzungsmitgliedern;Besatzungsmitglieder
Dachse;Dachse;Dachsen;Dachse;Dachse;Dachse;Dachsen;Dachse
Einsiedlerkrebse;Einsiedlerkrebse;Einsiedlerkrebsen;Einsiedlerkrebse;Einsiedlerkrebse;Einsiedlerkrebse;Einsiedlerkrebsen;Einsiedlerkrebse
Elche;Elche;Elchen;Elche;Elche;Elche;Elchen;Elche
Flamingos;Flamingos;Flamingos;Flamingos;Flamingos;Flamingos;Flamingos;Flamingos
Flusspferde;Flusspferde;Flusspferden;Flusspferde;Flusspferde;Flusspferde;Flusspferden;Flusspferde
Geier;Geier;Geiern;Geier;Geier;Geier;Geiern;Geier
Gildenbürger;Gildenbürger;Gildenbürgern;Gildenbürger;Gildenbürger;Gildenbürger;Gildenbürgern;Gildenbürger
Gildenschlitzer;Gildenschlitzer;Gildenschlitzern;Gildenschlitzer;Gildenschlitzer;Gildenschlitzer;Gildenschlitzern;Gildenschlitzer
Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen;Gildenschützen
