NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF;8_CON
// Singular declension (indefinite and definite)
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline; 2} looks up 2_DAT.
//
paralytische Abasie;paralytischen Abasie;paralytischer Abasie;paralytische Abasie;paralytische Abasie;paralytischen Abasie;paralytischen Abasie;paralytische Abasie;
//
// pawns
einfacher Soldat;einfachen Soldaten;einfachen Soldaten;einfachen Soldaten;einfache Soldat;einfachen Soldaten;einfachen Soldaten;einfachen Soldaten;
Held;Helden;Helden;Helden;Held;Helden;Helden;Helden;
Janitschar;Janitscharen;Janitscharen;Janitscharen;Janitschar;Janitscharen;Janitscharen;Janitscharen;
//
// titles
Akolyth;Akolyths;Akolyth;Akolyth;Akolyth;Akolyths;Akolyth;Akolyth;
Archon;Archons;Archon;Archon;Archon;Archons;Archon;Archon;
Baron;Barons;Baron;Baron;Baron;Barons;Baron;Baron;
Grundbesitzer;Grundbesitzers;Grundbesitzer;Grundbesitzer;Grundbesitzer;Grundbesitzers;Grundbesitzer;Grundbesitzer;
Kaiser;Kaisers;Kaiser;Kaiser;Kaiser;Kaisers;Kaiser;Kaiser;
Konsul;Konsuls;Konsul;Konsul;Konsul;Konsuls;Konsul;Konsul;
Novize;Novizen;Novizen;Novizen;Novize;Novizen;Novizen;Novizen;
Prätor;Prätors;Prätor;Prätor;Prätor;Prätors;Prätor;Prätor;
Ritter;Ritters;Ritter;Ritter;Ritter;Ritters;Ritter;Ritter;
Stellarch;Stellarchen;Stellarchen;Stellarchen;Stellarch;Stellarchen;Stellarchen;Stellarchen;
