NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-decline-other.ps1
// Declension for special cases
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; decline_other; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Flüchtlinge;Flüchtlinge;Flüchtlingen;Flüchtlinge;Flüchtlinge;Flüchtlinge;Flüchtlingen;Flüchtlinge
Imperiale;Imperialer;Imperialen;Imperiale;Imperialen;Imperialen;Imperialen;Imperialen
// DefInjected\HediffDef\* (\w+\.labelNoun)
ein ästhetischer Formgeber;eines ästhetischen Formgebers;einem ästhetischen Formgeber;einen ästhetischen Formgeber;der ästhetische Formgeber;des ästhetischen Formgebers;dem ästhetischen Formgeber;den ästhetischen Formgeber
ein Aufbereitungsmagen;eines Aufbereitungsmagens;einem Aufbereitungsmagen;einen Aufbereitungsmagen;der Aufbereitungsmagen;des Aufbereitungsmagens;dem Aufbereitungsmagen;den Aufbereitungsmagen
ein Biorhythmus-Assistent;eines Biorhythmus-Assistenten;einem Biorhythmus-Assistenten;einen Biorhythmus-Assistenten;der Biorhythmus-Assistent;des Biorhythmus-Assistenten;dem Biorhythmus-Assistenten;den Biorhythmus-Assistenten
ein Biorhythmus-Halbierer;eines Biorhythmus-Halbierers;einem Biorhythmus-Halbierer;einen Biorhythmus-Halbierer;der Biorhythmus-Halbierer;des Biorhythmus-Halbierers;dem Biorhythmus-Halbierer;den Biorhythmus-Halbierer
ein Bohrarm;eines Bohrarms;einem Bohrarm;einen Bohrarm;der Bohrarm;des Bohrarms;dem Bohrarm;den Bohrarm
ein Gastroanalysator;eines Gastroanalysators;einem Gastroanalysator;einen Gastroanalysator;der Gastroanalysator;des Gastroanalysators;dem Gastroanalysator;den Gastroanalysator
ein Heilungsverstärker;eines Heilungsverstärkers;einem Heilungsverstärker;einen Heilungsverstärker;der Heilungsverstärker;des Heilungsverstärkers;dem Heilungsverstärker;den Heilungsverstärker
ein Immunisierverstärker;eines Immunisierverstärkers;einem Immunisierverstärker;einen Immunisierverstärker;der Immunisierverstärker;des Immunisierverstärkers;dem Immunisierverstärker;den Immunisierverstärker
ein Kniestachel;eines Kniestachels;einem Kniestachel;einen Kniestachel;der Kniestachel;des Kniestachels;dem Kniestachel;den Kniestachel
ein Koagulator;eines Koagulators;einem Koagulator;einen Koagulator;der Koagulator;des Koagulators;dem Koagulator;den Koagulator
ein Lernassistent;eines Lernassistenten;einem Lernassistenten;einen Lernassistenten;der Lernassistent;des Lernassistenten;dem Lernassistenten;den Lernassistenten
ein Libidoverstärker;eines Libidoverstärkers;einem Libidoverstärker;einen Libidoverstärker;der Libidoverstärker;des Libidoverstärkers;dem Libidoverstärker;den Libidoverstärker
ein Nervennagel;eines Nervennagels;einem Nervennagel;einen Nervennagel;der Nervennagel;des Nervennagels;dem Nervennagel;den Nervennagel
ein Neurorechner;eines Neurorechners;einem Neurorechner;einen Neurorechner;der Neurorechner;des Neurorechners;dem Neurorechner;den Neurorechner
ein Nuklearmagen;eines Nuklearmagens;einem Nuklearmagen;einen Nuklearmagen;der Nuklearmagen;des Nuklearmagens;dem Nuklearmagen;den Nuklearmagen
ein paar Giftzähne;eines paar Giftzähnen;einem paar Giftzähnen;einen paar Giftzähnen;das paar Giftzähne;des paar Giftzähnen;dem paar Giftzähnen;den paar Giftzähnen
ein Psycho-Gedankenleser;eines Psycho-Gedankenlesers;einem Psycho-Gedankenleser;einen Psycho-Gedankenleser;der Psycho-Gedankenleser;des Psycho-Gedankenlesers;dem Psycho-Gedankenleser;den Psycho-Gedankenleser
ein Psycho-Harmonisierer;eines Psycho-Harmonisierers;einem Psycho-Harmonisierer;einen Psycho-Harmonisierer;der Psycho-Harmonisierer;des Psycho-Harmonisierers;dem Psycho-Harmonisierer;den Psycho-Harmonisierer
ein Psycho-Sensibilisierer;eines Psycho-Sensibilisierers;einem Psycho-Sensibilisierer;einen Psycho-Sensibilisierer;der Psycho-Sensibilisierer;des Psycho-Sensibilisierers;dem Psycho-Sensibilisierer;den Psycho-Sensibilisierer
ein Sterilisiermagen;eines Sterilisiermagens;einem Sterilisiermagen;einen Sterilisiermagen;der Sterilisiermagen;des Sterilisiermagens;dem Sterilisiermagen;den Sterilisiermagen
eine ästhetische Nase;einer ästhetischen Nase;einer ästhetischen Nase;eine ästhetische Nase;die ästhetische Nase;der ästhetischen Nase;der ästhetischen Nase;die ästhetische Nase
eine Dermalpanzerdrüse;einer Dermalpanzerdrüse;einer Dermalpanzerdrüse;eine Dermalpanzerdrüse;die Dermalpanzerdrüse;der Dermalpanzerdrüse;der Dermalpanzerdrüse;die Dermalpanzerdrüse
eine Dickhautdrüse;einer Dickhautdrüse;einer Dickhautdrüse;eine Dickhautdrüse;die Dickhautdrüse;der Dickhautdrüse;der Dickhautdrüse;die Dickhautdrüse
eine Ellenbogenklinge;einer Ellenbogenklinge;einer Ellenbogenklinge;eine Ellenbogenklinge;die Ellenbogenklinge;der Ellenbogenklinge;der Ellenbogenklinge;die Ellenbogenklinge
eine Feldhand;einer Feldhand;einer Feldhand;eine Feldhand;die Feldhand;der Feldhand;der Feldhand;die Feldhand
eine Giftkralle;einer Giftkralle;einer Giftkralle;eine Giftkralle;die Giftkralle;der Giftkralle;der Giftkralle;die Giftkralle
eine Handklinge;einer Handklinge;einer Handklinge;eine Handklinge;die Handklinge;der Handklinge;der Handklinge;die Handklinge
eine Steinhautdrüse;einer Steinhautdrüse;einer Steinhautdrüse;eine Steinhautdrüse;die Steinhautdrüse;der Steinhautdrüse;der Steinhautdrüse;die Steinhautdrüse
