KEY;1_OUT
// Auto-generated by update-wordinfo-hediff.ps1
// [CULPRITHEDIFF_labelNoun] improvements
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; hediff; 1} looks up 1_OUT.
// ---
// DefInjected\HediffDef\* (\w+\.labelNoun)
von ein ästhetischer Formgeber;eines ästhetischen Formgebers
von ein Aufbereitungsmagen;eines Aufbereitungsmagens
von ein Biorhythmus-Assistent;eines Biorhythmus-Assistenten
von ein Biorhythmus-Halbierer;eines Biorhythmus-Halbierers
von ein Bohrarm;eines Bohrarms
von ein Gastroanalysator;eines Gastroanalysators
von ein Heilungsverstärker;eines Heilungsverstärkers
von ein Immunisierverstärker;eines Immunisierverstärkers
von ein Kniestachel;eines Kniestachels
von ein Koagulator;eines Koagulators
von ein Lernassistent;eines Lernassistenten
von ein Libidoverstärker;eines Libidoverstärkers
von ein Nervennagel;eines Nervennagels
von ein Neurorechner;eines Neurorechners
von ein Nuklearmagen;eines Nuklearmagens
von ein Psycho-Gedankenleser;eines Psycho-Gedankenlesers
von ein Psycho-Harmonisierer;eines Psycho-Harmonisierers
von ein Psycho-Sensibilisierer;eines Psycho-Sensibilisierers
von ein Satz Giftzähne;von Giftzähnen
von ein Sterilisiermagen;eines Sterilisiermagens
von eine ästhetische Nase;einer ästhetischen Nase
von eine Dermalpanzerdrüse;einer Dermalpanzerdrüse
von eine Dickhautdrüse;einer Dickhautdrüse
von eine Ellenbogenklinge;einer Ellenbogenklinge
von eine Feldhand;einer Feldhand
von eine Giftkralle;einer Giftkralle
von eine Handklinge;einer Handklinge
von eine Steinhautdrüse;einer Steinhautdrüse
