// Auto-generated by update-wordinfo-plural.ps1
// Ingame pluralization use this file automatically.
// For declension, use plural_decline.txt
// ---
// DefInjected\RitualBehaviorDef\* (.+\.label)
Organisator;Organisatoren
Verbinder;Verbinder
// DefInjected\ThingDef\Apparel_*.xml (.+\.chargeNoun)
Brandbolzen;Brandbolzen
Granate;Granaten
Schildladung;Schildladungen
Sprung;Sprünge
// DefInjected\ThingDef\Buildings_Mech* (\w+\.label)
Auto-Mech-Gestator;Auto-Mech-Gestatoren
Countdownaktivator;Countdownaktivatoren
Entlauber;Entlauber
instabile Energiezelle;instabile Energiezellen
Mech-Bake;Mech-Baken
Mech-Boden-Schild;Mech-Boden-Schilde
Mech-Kapsel;Mech-Kapseln
Mech-Luft-Schild;Mech-Luft-Schilde
Näherungsaktivator;Näherungsaktivatoren
// DefInjected\ThingDef\Plants_* (.+\.label)
Animabaum;Animabäume
Animabaumstumpf;Animabaumstümpfe
Animagras;Animagräser
