NOM;1_GEN;2_DAT;3_ACC;4_NOM_DEF;5_GEN_DEF;6_DAT_DEF;7_ACC_DEF
// Auto-generated by update-wordinfo-plural-decline.ps1
// Plural declension (indefinite and definite)
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural_decline; 2} looks up 2_DAT.
// ---
// DefInjected\FactionDef\* (\w+\.pawnsPlural)
Flüchtlinge;Flüchtlinge;Flüchtlingen;Flüchtlinge;Flüchtlinge;Flüchtlinge;Flüchtlingen;Flüchtlinge
Imperiale;Imperialer;Imperialen;Imperiale;Imperialen;Imperialen;Imperialen;Imperialen
// DefInjected\PawnKindDef\* (\w+\.labelPlural)
Fußsoldaten;Fußsoldaten;Fußsoldaten;Fußsoldaten;Fußsoldaten;Fußsoldaten;Fußsoldaten;Fußsoldaten
Helden;Helden;Helden;Helden;Helden;Helden;Helden;Helden
imperiale Arbeiter;imperialer Arbeiter;imperialen Arbeitern;imperiale Arbeiter;imperialen Arbeiter;imperialen Arbeiter;imperialen Arbeitern;imperialen Arbeiter
imperiale Bürger;imperialer Bürger;imperialen Bürgern;imperiale Bürger;imperialen Bürger;imperialen Bürger;imperialen Bürgern;imperialen Bürger
imperiale Grenadiere;imperialer Grenadiere;imperialen Grenadieren;imperiale Grenadiere;imperialen Grenadiere;imperialen Grenadiere;imperialen Grenadieren;imperialen Grenadiere
imperiale Händler;imperialer Händler;imperialen Händlern;imperiale Händler;imperialen Händler;imperialen Händler;imperialen Händlern;imperialen Händler
Janitscharen;Janitscharen;Janitscharen;Janitscharen;Janitscharen;Janitscharen;Janitscharen;Janitscharen
Kataphrakten;Kataphrakten;Kataphrakten;Kataphrakten;Kataphrakten;Kataphrakten;Kataphrakten;Kataphrakten
stellische Beschützer;stellischer Beschützer;stellischen Beschützern;stellische Beschützer;stellischen Beschützer;stellischen Beschützer;stellischen Beschützern;stellischen Beschützer
stellische Wächter;stellischer Wächter;stellischen Wächtern;stellische Wächter;stellischen Wächter;stellischen Wächter;stellischen Wächtern;stellischen Wächter
// WordInfo\plural.txt
Animabäume;Animabäume;Animabäumen;Animabäume;Animabäume;Animabäume;Animabäumen;Animabäume
Animabaumstümpfe;Animabaumstümpfe;Animabaumstümpfen;Animabaumstümpfe;Animabaumstümpfe;Animabaumstümpfe;Animabaumstümpfen;Animabaumstümpfe
Animagräser;Animagräser;Animagräsern;Animagräser;Animagräser;Animagräser;Animagräsern;Animagräser
Auto-Mech-Gestatoren;Auto-Mech-Gestatoren;Auto-Mech-Gestatoren;Auto-Mech-Gestatoren;Auto-Mech-Gestatoren;Auto-Mech-Gestatoren;Auto-Mech-Gestatoren;Auto-Mech-Gestatoren
Brandbolzen;Brandbolzen;Brandbolzen;Brandbolzen;Brandbolzen;Brandbolzen;Brandbolzen;Brandbolzen
Countdownaktivatoren;Countdownaktivatoren;Countdownaktivatoren;Countdownaktivatoren;Countdownaktivatoren;Countdownaktivatoren;Countdownaktivatoren;Countdownaktivatoren
Entlauber;Entlauber;Entlaubern;Entlauber;Entlauber;Entlauber;Entlaubern;Entlauber
Granaten;Granaten;Granaten;Granaten;Granaten;Granaten;Granaten;Granaten
instabile Energiezellen;instabiler Energiezellen;instabilen Energiezellen;instabile Energiezellen;instabilen Energiezellen;instabilen Energiezellen;instabilen Energiezellen;instabilen Energiezellen
Mech-Baken;Mech-Baken;Mech-Baken;Mech-Baken;Mech-Baken;Mech-Baken;Mech-Baken;Mech-Baken
Mech-Boden-Schilde;Mech-Boden-Schilde;Mech-Boden-Schilden;Mech-Boden-Schilde;Mech-Boden-Schilde;Mech-Boden-Schilde;Mech-Boden-Schilden;Mech-Boden-Schilde
Mech-Kapseln;Mech-Kapseln;Mech-Kapseln;Mech-Kapseln;Mech-Kapseln;Mech-Kapseln;Mech-Kapseln;Mech-Kapseln
Mech-Luft-Schilde;Mech-Luft-Schilde;Mech-Luft-Schilden;Mech-Luft-Schilde;Mech-Luft-Schilde;Mech-Luft-Schilde;Mech-Luft-Schilden;Mech-Luft-Schilde
Näherungsaktivatoren;Näherungsaktivatoren;Näherungsaktivatoren;Näherungsaktivatoren;Näherungsaktivatoren;Näherungsaktivatoren;Näherungsaktivatoren;Näherungsaktivatoren
Organisatoren;Organisatoren;Organisatoren;Organisatoren;Organisatoren;Organisatoren;Organisatoren;Organisatoren
Schildladungen;Schildladungen;Schildladungen;Schildladungen;Schildladungen;Schildladungen;Schildladungen;Schildladungen
Sprünge;Sprünge;Sprüngen;Sprünge;Sprünge;Sprünge;Sprüngen;Sprünge
Verbinder;Verbinder;Verbindern;Verbinder;Verbinder;Verbinder;Verbindern;Verbinder
